topo,n,rate,pat,sent,recv,time_taken,injection_rate,sustained_rate,if_worst_latency,queue_cumu_worst_latency,sum_queueing,worst_total_latency,sa,average_latency
hoplite_1,64,36,random,65536,65536,9031,36,1,1,1,1,6463,.49684824032037795740,3122.59269714355468750000
hoplite_1,64,37,random,65536,65536,8990,37,1,1,1,1,6396,.49793926121616611049,3137.20088195800781250000
hoplite_1,64,38,random,65536,65536,9045,38,1,1,1,1,6480,.49489013266998341625,3167.56604003906250000000
hoplite_1,64,39,random,65536,65536,9020,39,1,1,1,1,6540,.49571149759793052475,3196.61154174804687500000
hoplite_1,64,40,random,65536,65536,9140,40,1,1,1,1,6692,.49341265499635302698,3262.54446411132812500000
hoplite_1,64,41,random,65536,65536,9068,41,1,1,1,1,6749,.49398985443317159241,3259.15171813964843750000
hoplite_1,64,42,random,65536,65536,8976,42,1,1,1,1,6726,.49748983400178253119,3252.27661132812500000000
hoplite_1,64,43,random,65536,65536,9058,43,1,1,1,1,6788,.49537068981379259586,3321.98358154296875000000
hoplite_1,64,44,random,65536,65536,9037,44,1,1,1,1,6894,.49571034358747371915,3341.17726135253906250000
hoplite_1,64,45,random,65536,65536,9062,45,1,1,1,1,6897,.49529341848745677922,3369.10858154296875000000
hoplite_1,64,46,random,65536,65536,9066,46,1,1,1,1,6947,.49476006967424075299,3382.38006591796875000000
hoplite_1,64,47,random,65536,65536,9057,47,1,1,1,1,6946,.49619194177615840418,3424.24278259277343750000
hoplite_1,64,48,random,65536,65536,9054,48,1,1,1,1,7074,.49701271537442014579,3431.09022521972656250000
hoplite_1,64,49,random,65536,65536,9110,49,1,1,1,1,7090,.49388778357116721551,3464.21685791015625000000
hoplite_1,64,50,random,65536,65536,9049,50,1,1,1,1,7138,.49706229049250377573,3485.10148620605468750000
ld_XBAR,64,1,random,65536,65536,111017,.010,.009,20,0,0,20,.00701762361470165229,10.12979125976562500000
ld_XBAR,64,2,random,65536,65536,53649,.020,.019,20,0,0,20,.01456603338366045965,10.15765380859375000000
ld_XBAR,64,3,random,65536,65536,35425,.030,.028,20,0,0,20,.02210829069630675135,10.17799377441406250000
ld_XBAR,64,4,random,65536,65536,26940,.040,.038,20,0,0,20,.02916787498453353130,10.20857238769531250000
ld_XBAR,64,5,random,65536,65536,21796,.050,.046,24,4,4,24,.03615479665611427173,10.23497009277343750000
ld_XBAR,64,6,random,65536,65536,18343,.060,.055,24,4,6,24,.04311263720038525141,10.26766967773437500000
ld_XBAR,64,7,random,65536,65536,15913,.070,.064,24,6,13,24,.04985220744569429606,10.29707336425781250000
ld_XBAR,64,8,random,65536,65536,13534,.080,.075,24,6,16,24,.05880569691763952514,10.32739257812500000000
ld_XBAR,64,9,random,65536,65536,12090,.090,.084,32,6,25,32,.06614367934932451061,10.37265014648437500000
ld_XBAR,64,10,random,65536,65536,10823,.100,.094,34,6,30,34,.07411119548646401182,10.40159606933593750000
ld_XBAR,64,11,random,65536,65536,9848,.110,.103,34,6,40,34,.08177659804021121039,10.44004821777343750000
ld_XBAR,64,12,random,65536,65536,8985,.120,.113,34,6,37,34,.09000214477833426080,10.47927856445312500000
ld_XBAR,64,13,random,65536,65536,8289,.130,.123,34,6,59,34,.09798660121848232597,10.52180480957031250000
ld_XBAR,64,14,random,65536,65536,7686,.140,.133,28,6,57,28,.10613622441235146153,10.56384277343750000000
ld_XBAR,64,15,random,65536,65536,7226,.150,.141,30,6,85,30,.11349441974582526063,10.61616516113281250000
ld_XBAR,64,16,random,65536,65536,6779,.160,.151,30,6,115,30,.12161792545606529970,10.66828918457031250000
ld_XBAR,64,17,random,65536,65536,6371,.170,.160,32,6,144,32,.13014661159943493956,10.72467041015625000000
ld_XBAR,64,18,random,65536,65536,6066,.180,.168,32,11,173,32,.13735025827013957577,10.77308654785156250000
ld_XBAR,64,19,random,65536,65536,5793,.190,.176,32,8,220,32,.14463599207376719028,10.83094787597656250000
ld_XBAR,64,20,random,65536,65536,5527,.200,.185,38,8,273,38,.15247638486822266449,10.89012145996093750000
ld_XBAR,64,21,random,65536,65536,5257,.210,.194,42,6,304,42,.16136000214000380445,10.95671081542968750000
ld_XBAR,64,22,random,65536,65536,4984,.220,.205,42,7,371,42,.17136320600922953451,11.02671813964843750000
ld_XBAR,64,23,random,65536,65536,4794,.230,.213,44,7,460,44,.17974996958003059379,11.11938476562500000000
ld_XBAR,64,24,random,65536,65536,4535,.240,.225,46,8,579,46,.19156990766262403528,11.20649719238281250000
ld_XBAR,64,25,random,65536,65536,4400,.250,.232,50,9,625,50,.19916281960227272727,11.29673767089843750000
ld_XBAR,64,26,random,65536,65536,4216,.260,.242,72,9,781,72,.20970336219165085388,11.39317321777343750000
